17;North Brazil Shelf;103
44;Central Australian Shelf;111
39;North Australian Shelf;114
40;Northeast Australian Shelf;115
45;Northwest Australian Shelf;118
41;East Central Australian Shelf;137
10;Insular Pacific-Hawaiian;142
99;West Pacific Warm Pool;152
05;Gulf of Mexico;174
33;Red Sea;187
16;East Brazil Shelf;208
12;Caribbean Sea;221
32;Arabian Sea;231
11;Pacific Central-American Coastal;235
06;Southeast U.S. Continental Shelf;236
34;Bay of Bengal;238
36;South China Sea;241
38;Indonesian Sea;250
35;Gulf of Thailand;253
04;Gulf of California;255
30;Agulhas Current;257
31;Somali Coastal Current;282
47;East China Sea;283
37;Sulu-Celebes Sea;284
49;Kuroshio Current;289
