LME no,Engagement score,Engagement categories,Completeness score,Completeness categories,integration score,Integration categories
30,69,H,47,M,0.1 ,VL
61,59,M,70,H,1.0 ,VH
32,86, VH ,45,M,0.1 ,VL
39,80, VH ,51,M,0.1 ,VL
23,65,H,61,H,0.1 ,VL
20,75,H,74,H,1.0 ,VH
34,87, VH ,50,M,0.1 ,VL
55,100, VH ,67,H,1.0 ,VH
29,71,H,80,H,1.0 ,VH
62,74,H,77,H,0.1 ,VL
3,89, VH ,50,M,0.0 ,VL
18,80, VH ,72,H,1.0 ,VH
66,75,H,77,H,1.0 ,VH
27,80, VH ,46,M,0.2 ,L
12,68,H,60,M,0.2 ,L
24,59,M,74,H,1.0 ,VH
64,78,H,73,H,1.0 ,VH
1,93, VH ,70,H,1.0 ,VH
47,83, VH ,43,M,0.1 ,VL
60,71,H,77,H,1.0 ,VH
19,75,H,74,H,1.0 ,VH
28,78,H,54,M,0.2 ,L
5,81, VH ,58,M,0.2 ,L
35,75,H,50,M,0.1 ,VL
13,88, VH ,68,H,1.0 ,VH
25,41,M,74,H,1.0 ,VH
59,90, VH ,78,H,0.1 ,VL
38,56,M,52,M,0.1 ,VL
49,88, VH ,56,M,0.3 ,L
26,85, VH ,78,H,1.0 ,VH
9,63,H,50,M,0.0 ,VL
54,100, VH ,69,H,1.0 ,VH
17,74,H,58,M,0.2 ,L
22,62,H,73,H,0.1 ,VL
7,75,H,49,M,0.0 ,VL
21,83, VH ,76,H,0.1 ,VL
51,100, VH ,30,L,0.3 ,L
11,85, VH ,65,H,0.1 ,VL
99,64,H,51,M,1.0 ,VH
14,58,M,82,VH,0.2 ,L
33,65,H,52,M,0.2 ,L
8,63,H,50,M,0.0 ,VL
50,88, VH ,30,L,0.5 ,M
52,100, VH ,38,L,0.9 ,VH
15,100, VH ,36,L,0.0 ,VL
36,68,H,50,M,0.1 ,VL
6,81, VH ,65,H,0.2 ,L
37,71,H,50,M,0.1 ,VL
53,100, VH ,60,M,1.0 ,VH
48,83, VH ,33,L,0.5 ,M
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
