LME no;LME;NAT POVERTY LINE TOTAL COASTAL POOR (2008-2013);NLDI 2006_LME;HDI 2009-13; SSP1 LME HDI 2100;SSP3 LME HDI 2100
1;East Bering Sea;5731.897032;0.6022;0.909352656;0.966245608;0.697068907
2;Gulf of Alaska;1273903.298;0.592943633;0.905463979;0.969438724;0.72564332
3;California Current;7348785.527;0.576635755;0.902740371;0.963753121;0.691753381
4;Gulf Of California;2965269.211;0.7582;0.749808116;0.925253152;0.592479784
5;Gulf Of Mexico;12438782.79;0.641581035;0.856324144;0.952766109;0.667082547
6;Southeast U.S. Continental Shelf;2418529.133;0.54203567;0.908834969;0.966190088;0.696970901
7;Northeast U.S.  Continental Shelf;10267164.43;0.567908736;0.909274967;0.966277003;0.697344607
8;Scotian Shelf;202883.3337;0.674;0.898599667;0.974001618;0.771215558
9;Newfoundland-Labrador Shelf;301613.29;0.679410127;0.898599667;0.974001618;0.771215558
10;Insular Pacific - Hawaiian;234333.6509;0.536453;0.909352656;0.966245608;0.697068907
11;Pacific Central - American Coastal;21995749.33;0.825299961;0.692554806;0.89343206;0.525919024
12;Caribbean Sea;26619338.62;0.749897916;0.718488369;0.89696429;0.561077438
13;Humboldt Current;6220441.693;0.77530596;0.767404036;0.935567975;0.619605279
14;Patagonian Shelf;2743353.157;0.703676322;0.798569332;0.923915636;0.588141754
15;South Brazil Shelf;11808889.24;0.6805;0.739443612;0.881814677;0.520477204
16;East Brazil Shelf;7074204.239;0.7592;0.739443612;0.881814677;0.520477204
17;North Brazil Shelf;2115451.118;0.866503777;0.731089301;0.8432534;0.50995864
18;Canadian Eastern Arctic - West Greenland;6736.825028;0.827443111;0.874;no data;no data
19;Greenland Sea;NO DATA;0.650489;0.869;no data;no data
20;Barents Sea;228975.3387;0.848386675;0.819413425;0.914266727;0.636643666
21;Norwegian Sea;64118.81709;0.8086;0.940359505;0.980530975;0.73996853
22;North Sea;3786085.267;0.662520364;0.899573175;0.951295513;0.65263361
23;Baltic Sea;3864980.234;0.693030505;0.865859073;0.954413368;0.695068211
24;Celtic-Biscay Shelf;1560557.978;0.591278264;0.892415202;0.943310908;0.633159127
25;Iberian Coastal ;2834356.965;0.708334421;0.84510591;0.92901461;0.614218066
26;Mediterranean;35405357.38;0.730065098;0.780446353;0.905751503;0.555397152
27;Canary Current;8801511.322;0.815723154;0.583383096;0.835917445;0.359086823
28;Guinea Current;37490193.41;0.8599;0.495375937;0.83735339;0.349690407
29;Benguela Current;2791168.346;0.867049821;0.575733335;0.772989765;0.301456993
30;Agulhas Current;20823995.37;0.922793268;0.551119782;0.770310079;0.27802623
31;Somali Coastal Current;7675311.719;0.909655219;0.337;0.746797584;0.256959959
32;Arabian Sea;43095719.08;0.774994487;0.618362066;0.852910776;0.443247103
33;Red Sea;6778118.948;0.813549301;0.647992579;0.816266106;0.460630543
34;Bay of Bengal;81353809.36;0.804507664;0.603724175;0.860473057;0.442869532
35;Gulf of Thailand;5806063.131;0.800357994;0.716781512;0.899771723;0.524302121
36;South China Sea;37747160.73;0.80191565;0.70009041;0.881839503;0.570350885
37;Sulu - Celebes Sea;20749617.37;0.861852649;0.657425211;0.874001076;0.583288021
38;Indonesian Sea;23807268.52;0.824164826;0.675276999;0.887306215;0.490417201
39;North Australian Shelf;21624.80819;0.7033;0.94233774;0.981969527;0.722497832
40;Northeast Australian Shelf;136523.6086;0.734037234;0.920179128;0.960382303;0.66952223
41;East Central Australian Shelf;1304358.951;0.6148;0.94233774;0.981969527;0.722497832
42;Southeast  Australian Shelf;958586.4903;0.6481;0.94233774;0.981969527;0.722497832
43;Southwest Australian Shelf;231408.7013;0.6145;0.94233774;0.981969527;0.722497832
44;West -  Central Australian Shelf;242755.7088;0.625791;0.94233774;0.981969527;0.722497832
45;Northwest Australian Shelf;8772.803546;0.625791;0.94233774;0.981969527;0.722497832
46;New Zealand Shelf;466456.2639;0.7779;0.920540729;0.971284659;0.685477461
47;East China Sea;11073277.28;0.706434047;0.740093102;0.906529763;0.568206379
48;Yellow Sea;15351353.02;0.683789002;0.751568384;0.910825799;0.582287111
49;Kuroshio;17036564.92;0.661017203;0.886503571;0.98068154;0.754124481
50;Sea of Japan / East Sea;10135038.93;0.721823488;0.882318467;0.893760131;0.67176488
51;Oyashio Current;159493.9656;0.705871899;0.883169241;0.979752775;0.752522184
52;Sea of Okhotsk;233121.8356;0.761239655;0.841803982;0.95322251;0.700312308
53;West Bering;52823.24815;0.806275;0.781818424;0.895149218;0.607584693
54;Northern Bering -  Chukchi Seas;9645.626674;0.708770816;0.85573163;0.93554997;0.658799462
55;Beaufort Sea;2472.962424;0.684191558;0.902708047;0.970877067;0.739119969
56;East Siberian Sea;4172.166886;0.955444;0.781818424;0.895149218;0.607584693
57;Laptev Sea;3788.748015;0.8232;0.781818424;0.895149218;0.607584693
58;Kara Sea;33824.01936;0.8522;0.781818424;0.895149218;0.607584693
59;Iceland Shelf and Sea;20390.2144;0.8044;0.897800991;0.988857573;0.746600611
60;Faroe Plateau;NO DATA;0.846237;0.95;no data;no data
61;Antarctic;NO DATA;no data;no data;no data;no data
62;Black Sea;3062469.938;0.792886287;0.760453106;0.891204816;0.570027191
63;Hudson Bay Complex;5251.682605;0.683;0.898599667;0.974001618;0.771215558
64;Central Arctic;NO DATA;no data;no data;no data;no data
65;Aleutian Is;49.24745962;0.60221;0.909352656;0.966245608;0.697068907
66;Canadian High Arctic - North Greenland;34.22279846;0.82128082;0.898599667;0.974001618;0.771215558
