LME no;LME;Area_Rural km2_100km;Area_Urban km2_100km;Area_Total km2_100km;Pop2010_Rural_100km;Pop2010_Urban_100km;Pop2010_Total_100km;2010 Pop at 10MX10KM;Pop2100_Rural_100km;Pop2100_Urban_100km;Pop2100_Total_100km;2100 10M X 10KM POP SSP1;2100 10M X10KM POP SSP3
1;East Bering Sea;140753;0;140753;33447;0;33447;2116;26429;0;26429;4063;2280
2;Gulf of Alaska;615545;18502;634046;592079;7881793;8473872;1306362;1048598;8156604;9205202;1398344;759876
3;California Current;236855;49217;286072;1358644;38040068;39398712;5881249;2348489;51896155;54244644;7964474;4757344
4;Gulf Of California;216665;8883;225547;1839165;4205435;6044600;599764;1542890;3403076;4945965;225905;538233
5;Gulf Of Mexico;415240;82807;498047;9748728;30774000;40522728;4989455;14849820;49580288;64430109;7532702;6053049
6;Southeast U.S. Continental Shelf;105341;33732;139074;1198868;12945165;14144033;2126688;1607710;27760743;29368453;4522152;2551317
7;Northeast U.S.  Continental Shelf;80953;184043;264996;5365459;54704255;60069714;8799161;9137827;64465038;73602865;11313383;6346516
8;Scotian Shelf;114122;16285;130408;453719;1247229;1700948;272083;230087;683722;913809;135898;69475
9;Newfoundland-Labrador Shelf;491374;19302;510676;618707;1916024;2534731;412074;472500;1371535;1844035;271023;138554
10;Insular Pacific - Hawaiian;13419;3276;16695;84631;1282762;1367394;203430;66160;2503350;2569510;467893;262552
11;Pacific Central - American Coastal;549883;36090;585973;23824558;26495811;50320369;3906925;50535113;47324625;97859738;6231929;15187199
12;Caribbean Sea;720467;74310;794777;35485511;48777848;84263359;8091208;58003582;68573334;126576916;3784559;8184787
13;Humboldt Current;704537;21141;725678;9381185;21063303;30444488;1040027;17393025;50933150;68326175;1039870;2314180
14;Patagonian Shelf;447547;16308;463855;1954299;18565542;20519841;2824863;7192813;31453397;38646210;1773875;3898937
15;South Brazil Shelf;184432;30463;214895;9124236;47649270;56773506;8653157;23800428;84447898;108248326;5787779;11307967
16;East Brazil Shelf;277394;24898;302293;13070152;20940446;34010597;4869586;19666877;29407915;49074792;2623912;5126510
17;North Brazil Shelf;502527;6084;508610;4530489;5020114;9550602;1885493;5985357;4879896;10865253;834520;1778436
18;Canadian Eastern Arctic - West Greenland;743614;31;743645;56282;13275;69557;47720;34038;15940;49979;42064;49254
19;Greenland Sea;141511;0;141511;102;0;102;72;3588;0;3588;50149;26326
20;Barents Sea;670877;7503;678380;675670;1353297;2028968;234138;307031;794611;1101642;9569355;5505178
21;Norwegian Sea;86826;4392;91219;387956;452946;840903;65558;257429;328133;585562;3688093;2512733
22;North Sea;320011;89023;409034;14713667;66723567;81437234;8571337;15802440;70961869;86764309;4833177;2875820
23;Baltic Sea;504308;63181;567489;10088857;24185048;34273905;4791363;6859108;18820028;25679136;1747924;1034189
24;Celtic-Biscay Shelf;315767;73845;389613;14118858;54492300;68611158;5347405;17684612;58910683;76595295;15505515;24028982
25;Iberian Coastal ;137831;30003;167834;6085091;15424643;21509735;1019231;3915869;10746172;14662042;8896838;22523402
26;Mediterranean;1216159;211571;1427730;83755361;152922195;236677556;18657686;128562772;225014869;353577642;23686781;45957085
27;Canary Current;339833;12512;352345;15118657;18616085;33734742;5556738;39951644;31962259;71913903;3867068;7346120
28;Guinea Current;468792;13071;481863;38165997;42937848;81103844;19521842;131941527;119555088;251496615;5278685;10672382
29;Benguela Current;357602;6545;364147;1562959;8157038;9719997;2127625;11908854;12606264;24515118;4879333;11985973
30;Agulhas Current;740524;13793;754317;26774317;13923952;40698269;3732877;46812396;28205439;75017836;26705979;56150928
31;Somali Coastal Current;297195;1731;298926;9996331;5675448;15671779;1361496;57816834;34220336;92037170;4748213;10175790
32;Arabian Sea;1041167;69663;1110830;94565089;97814400;192379489;31037398;164612205;152218079;316830284;38213535;82477106
33;Red Sea;494925;18948;513873;16155251;11794606;27949857;2574737;70332905;33665545;103998449;6066618;7868775
34;Bay of Bengal;816460;57953;874413;205745155;117643382;323388537;62996686;333816233;167958159;501774392;18542150;34001315
35;Gulf of Thailand;210551;19932;230482;20578044;17528452;38106496;5633691;36643171;26059161;62702332;11007473;24190465
36;South China Sea;703907;61095;765002;127398450;144296859;271695309;49532376;123833770;89463501;213297270;20968942;33390093
37;Sulu - Celebes Sea;317948;10031;327980;55510217;26888942;82399159;8356433;78160910;38384273;116545183;5893;3260
38;Indonesian Sea;726955;29198;756153;100139797;72154131;172293928;24644829;137086093;105613322;242699415;292912;523827
39;North Australian Shelf;371945;404;372349;44947;106331;151278;15410;27927;12390;40318;1883148;1041568
40;Northeast Australian Shelf;230532;2796;233329;274961;589169;864131;82736;169187;230361;399548;1192540;659593
41;East Central Australian Shelf;135576;12852;148428;1688447;7436283;9124731;952425;3329357;9553833;12883190;302208;167151
42;Southeast  Australian Shelf;205318;8922;214240;1144108;5561748;6705856;702116;2367813;5790716;8158529;300490;166201
43;Southwest Australian Shelf;311137;2694;313831;331432;1287403;1618835;168257;681326;1386168;2067494;1880;1040
44;West -  Central Australian Shelf;137013;3023;140036;318686;1379528;1698214;177157;570334;1485411;2055745;754629;449112
45;Northwest Australian Shelf;213736;62;213798;48643;12727;61371;5570;10056;2804;12860;13415683;20459792
46;New Zealand Shelf;247233;8032;255265;846540;3429840;4276380;572894;1641487;4080398;5721885;16252285;25161991
47;East China Sea;159437;41037;200474;40489958;96108059;136598017;20148703;50128742;116091868;166220610;6487960;4188803
48;Yellow Sea;272080;52554;324634;63459004;106764673;170223678;22409300;89927819;136006374;225934193;2923737;1780285
49;Kuroshio;178779;82201;260980;19299434;92018718;111318152;11746161;14175411;76859687;91035098;29214;17772
50;Sea of Japan / East Sea;446422;64672;511094;20687130;52469825;73156955;6540229;14794886;40901174;55696060;35364;29846
51;Oyashio Current;34144;3012;37156;620316;378701;999018;61319;255921;156456;412377;5450;8778
52;Sea of Okhotsk;580126;5151;585278;886897;737328;1624225;118619;372409;308683;681092;4328;3062
53;West Bering;232053;774;232827;96838;213887;310725;36780;47987;148186;196173;1199;641
54;Northern Bering -  Chukchi Seas;493725;1;493726;56490;0;56490;3053;45969;0;45969;761;1225
55;Beaufort Sea;974275;3;974278;17987;55;18042;2074;7919;19;7938;1053;1695
56;East Siberian Sea;246306;6;246312;34151;1;34151;1466;27382;1;27383;3760;6056
57;Laptev Sea;616272;8;616280;31012;1;31013;1331;37887;1;37888;127213;69506
58;Kara Sea;674451;1060;675511;111075;165792;276868;25531;72105;63250;135355;3119;1595
59;Iceland Shelf and Sea;89114;1026;90140;93375;230991;324366;30234;150804;253628;404432;687;385
60;Faroe Plateau;1087;321;1408;26177;22686;48863;4899;20117;23551;43668;16;8
61;Antarctic;;;;;;;;;;;;
62;Black Sea;362094;23752;385846;12588784;16897769;29486553;1874124;7314617;10808422;18123039;681463;1185931
63;Hudson Bay Complex;938394;17;938411;43502;528;44029;6249;20771;203;20975;3119;1595
64;Central Arctic;;;;;;;;;;;;
65;Aleutian Is;460;0;460;287;0;287;;4466;0;4466;687;385
66;Canadian High Arctic - North Greenland;442031;0;442031;289;0;289;47;138;0;138;16;8
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
