LME_number,SST_net_change
1,2.37E-01
2,6.05E-02
3,2.27E-02
4,1.13E+00
5,1.58E-01
6,-2.84E-01
7,1.40E+00
8,1.46E+00
9,1.04E+00
10,1.25E-01
11,2.70E-01
12,1.47E-01
13,2.43E-01
14,6.24E-02
15,1.07E+00
16,5.88E-01
17,3.82E-01
18,4.96E-01
19,5.15E-01
20,-6.08E-02
21,5.49E-01
22,9.28E-01
23,9.26E-01
24,5.06E-01
25,8.96E-01
26,6.61E-01
27,5.94E-01
28,6.62E-01
29,2.73E-01
30,7.24E-01
31,5.46E-01
32,4.77E-01
33,4.01E-01
34,5.30E-01
35,4.24E-01
36,8.02E-01
37,6.40E-01
38,5.40E-01
39,4.43E-01
40,5.26E-01
41,5.84E-01
42,6.15E-01
43,5.37E-01
44,9.65E-01
45,4.99E-01
46,8.60E-02
47,1.57E+00
48,9.29E-01
49,7.00E-01
50,1.05E+00
51,6.82E-01
52,5.67E-01
53,4.66E-01
54,6.50E-01
55,4.73E-01
56,4.38E-01
57,4.69E-01
58,6.04E-01
59,3.59E-01
60,1.04E-01
61,1.24E-01
62,3.07E-01
63,5.95E-01
64,1.03E-01
65,4.01E-01
66,1.29E-01
99,4.80E-01
